EmbeddedDomain,IPAdress,NumberOfDotsInURL,SuspiciousURL,NumberOfSensitiveWordsInURL,OutOfPositionTopLevelDomain,BadForms,BadActionFields,NonMatchingURLs,OutOfPositionBrandName,WebPageSize,AgeOfDomain,VirusTotalDomainReputation,XForceDomainReputation,PageRank,Label
0,0,6,0,1,0,0,0,1,0,67586,0,16,-1,0,1
0,0,6,0,1,0,0,0,1,0,67586,0,16,-1,0,1
0,0,6,0,1,0,0,0,1,0,67586,0,16,1,0,1
0,0,6,0,1,0,0,0,1,0,67586,0,15,1,0,1
0,0,6,0,1,0,0,0,1,0,67586,0,14,-1,0,1
0,0,6,0,1,0,0,0,1,0,67586,0,15,-1,0,1
0,0,6,0,1,0,0,0,1,0,67586,0,17,1,0,1
0,0,6,0,1,0,0,0,1,0,67586,0,16,1,0,1
0,0,5,0,1,0,0,0,1,0,67586,0,18,1,0,1
0,0,5,0,1,0,0,0,1,0,67586,0,16,-1,0,1
0,0,5,0,1,0,0,0,1,0,67586,0,17,-1,0,1
0,0,5,0,1,0,0,0,1,0,67586,0,12,-1,0,1
0,0,5,0,1,0,0,0,1,0,67586,0,16,-1,0,1
0,0,1,0,0,0,0,0,1,0,101066,0,1,0,6,1
0,0,1,1,0,0,0,0,-1,-1,1283,0,18,1,0,1
0,0,2,0,0,0,0,0,0,0,13808,0,1,0,4,1
0,0,2,0,0,0,0,0,-1,-1,731,0,1,0,0,1
0,0,2,0,0,0,0,0,-1,-1,731,0,1,0,0,1
0,0,2,0,1,0,0,0,1,0,9865,1,13,-1,0,1
0,0,2,0,1,0,0,0,1,0,9865,1,16,-1,0,1
0,0,1,0,0,0,0,0,1,0,16233,0,20,1,0,1
0,0,2,0,0,0,0,0,1,0,8790,0,5,-1,0,1
0,0,1,1,0,0,0,0,0,0,103010,0,3,0,3,1
0,0,3,0,0,0,0,0,0,0,64588,0,0,0,3,1
0,0,1,1,0,0,0,0,-1,-1,7388,1,13,1,0,1
0,0,3,1,0,0,0,0,-1,0,105,0,11,0,0,1
0,0,2,1,0,0,0,0,0,0,53626,1,6,-1,0,1
0,0,1,0,0,0,0,0,-1,0,1585,0,7,-1,4,1
0,0,1,0,0,0,0,0,0,0,6332,0,1,-1,6,1
0,0,2,0,1,0,0,0,1,0,9865,1,15,-1,0,1
0,0,1,0,0,0,0,0,-1,-1,7407,1,18,1,0,1
0,0,1,0,0,0,0,0,1,0,50400,1,18,1,0,1
0,0,1,0,0,0,0,0,1,0,50400,1,18,1,0,1
0,0,1,0,0,0,0,0,1,0,46225,1,20,1,0,1
0,0,1,0,0,0,0,0,1,0,46225,1,20,1,0,1
0,0,5,1,0,0,0,0,1,0,6725,0,10,0,2,1
0,0,1,1,0,0,0,0,1,0,3742,1,14,1,0,1
0,0,1,0,1,0,0,0,1,0,5045,0,0,-1,4,1
0,0,1,0,0,0,0,0,0,0,69837,0,15,1,0,1
0,0,1,0,0,0,0,0,1,0,449447,0,3,1,5,1
0,0,2,0,0,0,0,0,0,0,449447,0,1,0,5,1
0,0,1,1,0,0,0,0,1,0,15771,1,14,1,0,1
0,0,2,1,0,0,0,0,1,0,18874,0,12,1,0,1
0,0,1,1,0,0,0,0,-1,-1,397,1,14,1,0,1
0,0,4,0,0,0,0,0,-1,-1,467,0,18,1,0,1
0,0,4,0,0,0,0,0,-1,-1,467,0,18,1,0,1
0,0,2,1,0,0,0,0,1,0,29010,0,15,1,0,1
0,0,4,0,0,0,0,0,-1,-1,467,0,18,1,0,1
0,0,2,1,0,0,0,0,1,0,200240,0,13,1,0,1
0,0,2,1,0,0,0,0,1,0,200240,0,14,1,0,1
0,0,2,1,0,0,0,0,-1,0,27591,0,15,1,0,1
0,0,2,1,0,0,0,0,-1,0,27591,0,14,1,0,1
0,0,4,1,1,0,0,0,-1,0,10723,0,9,0,2,1
0,0,4,1,1,0,0,0,1,0,10805,0,17,0,0,1
0,0,3,1,0,0,-1,-1,1,0,18414,0,15,1,0,1
0,0,2,1,2,0,-1,-1,1,0,40183,0,4,1,0,1
0,0,1,1,0,0,0,0,1,0,53988,0,9,-1,0,1
0,0,3,1,0,0,0,0,1,0,241203,0,19,1,0,1
0,0,1,1,2,0,0,0,-1,-1,5395,0,11,-1,2,1
0,0,1,1,2,0,0,0,-1,-1,5391,0,11,-1,2,1
0,0,3,1,0,0,0,0,1,0,796452,0,19,1,0,1
0,0,3,1,0,0,0,0,-1,-1,122193,0,10,0,2,1
0,0,3,1,0,0,0,0,1,0,730563,0,19,1,0,1
0,0,3,0,0,0,0,0,-1,-1,1002851,0,5,0,2,1
0,0,3,1,0,0,0,0,1,0,796449,0,18,1,0,1
0,0,3,1,0,0,0,0,-1,-1,690982,0,19,1,0,1
0,0,3,1,0,0,0,0,1,0,796464,0,18,1,0,1
0,0,3,1,0,0,0,0,-1,-1,363095,0,17,1,0,1
0,0,3,1,0,0,0,0,1,0,730578,0,19,1,0,1
0,0,2,1,1,0,0,0,1,0,5813,1,17,-1,0,1
0,0,1,1,0,0,0,0,1,0,8736,0,0,-1,4,1
0,0,2,1,0,0,0,0,1,0,1985,0,10,-1,0,1
0,0,1,1,0,0,0,0,1,0,1581,0,16,1,0,1
0,0,1,0,0,0,0,0,1,0,12140,0,18,1,0,1
0,0,1,0,0,0,0,0,1,0,12140,0,18,1,0,1
0,0,1,0,0,0,0,0,1,0,3456,0,0,0,7,1
0,0,1,0,0,0,0,0,1,0,8996,0,0,0,4,1
0,0,2,0,0,0,0,0,-1,0,833,0,17,1,0,1
0,0,2,1,0,0,0,0,-1,0,837,0,16,1,0,1
0,0,1,0,1,0,0,0,-1,-1,7423,1,14,-1,0,1
0,0,2,0,0,0,0,0,-1,0,837,0,15,1,0,1
0,0,3,0,0,0,0,0,-1,-1,191,0,2,0,2,1
0,0,3,0,0,0,0,0,-1,-1,191,0,2,0,2,1
0,0,3,1,0,0,0,0,1,0,10307,0,10,-1,0,1
0,0,3,1,0,0,0,0,-1,-1,52187,1,16,1,0,1
0,0,4,1,0,0,0,0,-1,-1,9,1,16,1,0,1
0,0,3,1,0,0,0,0,0,0,46432,0,0,0,8,1
0,0,3,1,0,1,0,0,-1,0,104,0,5,-1,2,1
0,0,1,0,0,0,0,0,1,0,3456,0,0,0,7,1
0,0,2,0,0,0,-1,-1,1,0,118415,0,0,0,8,1
0,0,3,1,0,0,0,0,1,0,94332,0,0,0,8,1
0,0,2,0,0,0,-1,-1,1,0,118023,0,0,0,8,1
0,0,2,0,0,0,-1,-1,1,0,117955,0,0,0,8,1
0,0,2,0,0,0,0,0,1,0,10325,0,1,0,4,1
0,0,3,0,0,0,0,0,-1,0,841,0,4,0,0,1
0,0,5,1,0,0,0,0,1,0,11550,0,1,-1,3,1
0,0,3,1,0,0,0,0,1,0,3553,0,15,1,0,1
0,0,3,1,0,0,0,0,1,0,8053,0,16,1,0,1
0,0,3,1,0,0,0,0,1,0,8053,0,16,1,0,1
0,0,1,0,0,0,0,0,1,0,340579,0,0,0,1,1
0,0,3,0,0,1,0,0,1,0,44796,0,2,0,2,1
0,0,1,0,0,0,0,0,1,0,340579,0,8,-1,0,1
0,0,2,1,0,0,0,0,-1,-1,7124,0,12,0,0,1
0,0,3,1,0,1,0,0,1,0,10825,0,6,0,2,1
0,0,2,1,0,0,0,0,1,0,20713,0,16,1,0,1
0,0,1,0,0,0,0,0,1,0,9422,1,16,-1,0,1
0,0,1,1,2,0,0,0,-1,-1,5389,0,11,-1,2,1
0,0,3,1,0,0,0,0,1,0,730563,0,20,1,0,1
